,terminologyEnglish,terminologyFrench,syntheticText,translatedText
24,cough,toussez|toussent|tousser|tousse|toussé|toux,I have a bad cough.,J'ai une mauvaise toux.
25,diabetes,diabètes|diabète,I have been diagnosed with diabetes.,J'ai été diagnostiqué avec le diabète.
26,diabetes,diabètes|diabète,I have been diagnosed with diabetes.,J'ai été diagnostiqué avec le diabète.
27,diabetes,diabètes|diabète,I have been diagnosed with diabetes.,J'ai été diagnostiqué avec le diabète.
28,diabetes,diabètes|diabète,I have been diagnosed with diabetes.,J'ai été diagnostiqué comme diabétique.
29,diabetes,diabètes|diabète,I have been diagnosed with diabetes.,J'ai été diagnostiqué diabétique.
30,flu,grippale|grippaux|grippe,I have the flu and I'm feeling really sick.,J'ai la grippe et je me sens vraiment malade.
31,flu,grippale|grippaux|grippe,I have the flu and need to stay home from work.,J'ai la grippe et je dois rester chez moi au lieu d'aller travailler.
32,flu,grippale|grippaux|grippe,I have the flu and I'm feeling very sick.,J'ai la grippe et je me sens très malade.
33,flu,grippale|grippaux|grippe,I have the flu and need to stay home from work.,J'ai la grippe et je dois rester à la maison du travail.
34,flu,grippale|grippaux|grippe,I have the flu and I'm feeling very sick.,J'ai la grippe et je me sens très malade.
35,breathing,respirez|respiratoire|respiration,I can feel the air entering my lungs as I take a deep breath of fresh air.,Je peux sentir l'air entrer dans mes poumons lorsque je prends une profonde respiration d'air frais.
36,breathing,respirez|respiratoire|respiration,I can feel the air entering my lungs as I take a deep breath of fresh air.,Je peux sentir l'air entrer dans mes poumons lorsque je prends une profonde respiration d'air frais.
37,breathing,respirez|respiratoire|respiration,I can feel the air entering my lungs as I take a deep breath of fresh air.,Je peux sentir l'air entrer dans mes poumons lorsque je prends une profonde respiration d'air frais.
38,breathing,respirez|respiratoire|respiration,I can feel the air entering my lungs as I take a deep breath of fresh air.,Je peux sentir l'air entrer dans mes poumons alors que je prends une profonde respiration d'air frais.
39,breathing,respirez|respiratoire|respiration,I can feel the air entering my lungs as I take a deep breath of fresh air.,Je peux sentir l'air entrer dans mes poumons lorsque je prends une profonde respiration d'air frais.
40,high fever,forte fièvre,She had a high fever and was taken to the hospital.,Elle avait une forte fièvre et elle a été emmenée à l'hôpital.
41,high fever,forte fièvre,She had a high fever and was taken to the hospital.,Elle avait une forte fièvre et a été prise à l'hôpital.
42,high fever,forte fièvre,She had a high fever and was taken to the hospital.,Elle avait une forte fièvre et a été amenée à l'hôpital.
43,high fever,forte fièvre,She had a high fever and was taken to the hospital.,Elle avait une forte fièvre et a été emmenée à l'hôpital.
44,high fever,forte fièvre,She had a high fever and was taken to the hospital.,Elle avait une forte fièvre et a été emmenée à l'hôpital.
45,Coronavirus disease,maladie du coronavirus,The coronavirus disease has been spreading rapidly around the world.,La maladie du coronavirus se propage rapidement dans le monde entier.
46,Coronavirus disease,maladie du coronavirus,The coronavirus disease has caused a global pandemic.,La maladie à coronavirus a provoqué une pandémie mondiale.
47,Coronavirus disease,maladie du coronavirus,The world is facing a global pandemic due to the Coronavirus disease.,Le monde fait face à une pandémie mondiale à cause de la maladie du Coronavirus.
48,Coronavirus disease,maladie du coronavirus,The coronavirus disease has been spreading rapidly around the world.,La maladie à coronavirus s'est propagée rapidement autour du monde.
49,Coronavirus disease,maladie du coronavirus,The coronavirus disease has been spreading rapidly around the world.,La maladie à coronavirus s'est propagée rapidement autour du monde.
50,COVID-19 pandemic,pandémie de COVID-19,The COVID-19 pandemic has had a devastating impact on the world.,La pandémie de COVID-19 a eu un impact dévastateur sur le monde.
51,COVID-19 pandemic,pandémie de COVID-19,The COVID-19 pandemic has had a devastating impact on the world.,La pandémie de COVID-19 a eu un impact dévastateur sur le monde.
52,COVID-19 pandemic,pandémie de COVID-19,The COVID-19 pandemic has had a devastating impact on the world.,La pandémie de COVID-19 a eu un impact dévastateur sur le monde.
53,COVID-19 pandemic,pandémie de COVID-19,The COVID-19 pandemic has had a devastating impact on the world.,La pandémie de COVID-19 a eu un impact dévastateur sur le monde.
54,COVID-19 pandemic,pandémie de COVID-19,The COVID-19 pandemic has had a devastating impact on the world.,La pandémie de COVID-19 a eu un impact dévastateur sur le monde.
55,preparedness,se préparer|préparation,Being prepared is key to success.,Être préparé est la clé du succès.
56,preparedness,se préparer|préparation,Being prepared is key to success.,Être prêt est la clé du succès.
57,preparedness,se préparer|préparation,Being prepared is key to success.,Être préparé est la clé du succès.
58,preparedness,se préparer|préparation,Being prepared is key to success.,être préparé est la clé du succès.
59,preparedness,se préparer|préparation,Being prepared is the key to success.,Être préparé est la clé du succès.
60,pneumonia,pneumonie,I was diagnosed with pneumonia.,J'ai été diagnostiqué avec une pneumonie.
61,pneumonia,pneumonie,I was diagnosed with pneumonia.,J'ai été diagnostiqué avec une pneumonie.
62,pneumonia,pneumonie,I was diagnosed with pneumonia.,J'ai été diagnostiqué avec une pneumonie.
63,pneumonia,pneumonie,I was diagnosed with pneumonia.,J'ai été diagnostiqué avec la pneumonie.
64,pneumonia,pneumonie,I was diagnosed with pneumonia.,J'ai été diagnostiqué avec une pneumonie.
65,Wuhan,Wuhan,"I recently heard about the outbreak of the coronavirus in Wuhan, China.","J'ai récemment entendu parler de l'éclosion du coronavirus à Wuhan, en Chine."
66,Wuhan,Wuhan,I heard that Wuhan is a city in China.,J'ai entendu dire que Wuhan est une ville en Chine.
67,Wuhan,Wuhan,"I recently heard about the outbreak of the coronavirus in Wuhan, China.","J'ai récemment entendu parler de l'éclosion du coronavirus à Wuhan, en Chine."
68,Wuhan,Wuhan,I heard that Wuhan is a city in China.,J'ai entendu dire que Wuhan est une ville en Chine.
69,Wuhan,Wuhan,I heard that Wuhan is a city in China.,J'ai entendu dire que Wuhan est une ville en Chine.
70,Hubei,Hubei,I recently visited the province of Hubei in China.,J'ai récemment visité la province de Hubei en Chine.
71,Hubei,Hubei,I recently visited the province of Hubei in China.,J'ai récemment visité la province de Hubei en Chine.
72,Hubei,Hubei,I recently visited the province of Hubei in China.,J'ai récemment visité la province de Hubei en Chine.
73,Hubei,Hubei,I recently visited the province of Hubei in China.,J'ai récemment visité la province de Hubei en Chine.
74,Hubei,Hubei,I recently visited the province of Hubei in China.,J'ai récemment visité la province de Hubei en Chine.
75,causative agent,agent causal|agent responsable,The causative agent caused the reaction.,L'agent causal a provoqué la réaction.
76,causative agent,agent causal|agent responsable,The causative agent caused the reaction.,L'agent causal a provoqué la réaction.
77,causative agent,agent causal|agent responsable,The causative agent caused the reaction.,L'agent causal a provoqué la réaction.
78,causative agent,agent causal|agent responsable,The causative agent caused the problem.,L'agent causal a provoqué le problème.
79,causative agent,agent causal|agent responsable,The causative agent caused the reaction.,L'agent causal a provoqué la réaction.
80,novel Coronavirus,coronavirus nouveau|nouveau coronavirus,The novel Coronavirus has caused a global pandemic.,Le nouveau coronavirus a provoqué une pandémie mondiale.
81,novel Coronavirus,coronavirus nouveau|nouveau coronavirus,The novel Coronavirus has caused a global pandemic.,Le nouveau coronavirus a provoqué une pandémie mondiale.
82,novel Coronavirus,coronavirus nouveau|nouveau coronavirus,The novel Coronavirus has caused a global pandemic.,Le nouveau coronavirus a causé une pandémie mondiale.
83,novel Coronavirus,coronavirus nouveau|nouveau coronavirus,The novel Coronavirus has caused a global pandemic.,Le nouveau coronavirus a provoqué une pandémie mondiale.
84,novel Coronavirus,coronavirus nouveau|nouveau coronavirus,The novel Coronavirus has caused a global pandemic.,Le nouveau coronavirus a provoqué une pandémie mondiale.
85,Coronavirus,coronavirus,The world is currently facing a global pandemic due to the spread of the Coronavirus.,Le monde est actuellement confronté à une pandémie mondiale en raison de la propagation du Coronavirus.
86,Coronavirus,coronavirus,The spread of the Coronavirus has caused global concern.,La propagation du Coronavirus a suscité une préoccupation mondiale.
87,Coronavirus,coronavirus,The recent outbreak of the Coronavirus has caused worldwide concern.,L'éclosion récente du Coronavirus a suscité des inquiétudes à l'échelle mondiale.
88,Coronavirus,coronavirus,The world is currently facing a global pandemic due to the spread of the Coronavirus.,Le monde fait actuellement face à une pandémie mondiale en raison de la propagation du Coronavirus.
89,Coronavirus,coronavirus,The world is facing a global pandemic due to the spread of the Coronavirus.,Le monde est confronté à une pandémie mondiale en raison de la propagation du coronavirus.
90,respiratory syndrome,syndrome respiratoire,She was diagnosed with a severe respiratory syndrome.,Elle a été diagnostiquée avec un syndrome respiratoire sévère.
91,respiratory syndrome,syndrome respiratoire,She was diagnosed with a severe respiratory syndrome.,Elle a été diagnostiquée avec un syndrome respiratoire sévère.
92,respiratory syndrome,syndrome respiratoire,I have been diagnosed with a respiratory syndrome.,J'ai été diagnostiqué avec un syndrome respiratoire.
93,respiratory syndrome,syndrome respiratoire,I have been diagnosed with a respiratory syndrome.,J'ai été diagnostiqué avec un syndrome respiratoire.
94,respiratory syndrome,syndrome respiratoire,I have been diagnosed with a respiratory syndrome.,J'ai été diagnostiqué avec un syndrome respiratoire.
95,SARS-CoV-2,SRAS-CoV-2|SARS-CoV-2,"The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
96,SARS-CoV-2,SRAS-CoV-2|SARS-CoV-2,"The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
97,SARS-CoV-2,SRAS-CoV-2|SARS-CoV-2,"The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
98,SARS-CoV-2,SRAS-CoV-2|SARS-CoV-2,"The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
99,SARS-CoV-2,SRAS-CoV-2|SARS-CoV-2,"The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
100,illness,maladie|maladies,I am suffering from an illness.,Je souffre d'une maladie.
101,illness,maladie|maladies,I am suffering from an illness.,Je souffre d'une maladie.
102,illness,maladie|maladies,I am suffering from an illness.,Je souffre d'une maladie.
103,illness,maladie|maladies,I am suffering from an illness.,Je souffre d'une maladie.
104,illness,maladie|maladies,I am suffering from an illness.,Je souffre d'une maladie.
105,infection,infections|infectées|infectieuse|infection,I have an infection and need to see a doctor.,J'ai une infection et j'ai besoin de voir un médecin.
106,infection,infections|infectées|infectieuse|infection,I have an infection and need to see a doctor.,J'ai une infection et j'ai besoin de voir un médecin.
107,infection,infections|infectées|infectieuse|infection,I have an infection and need to see a doctor.,J'ai une infection et je dois voir un docteur.
108,infection,infections|infectées|infectieuse|infection,I have an infection and need to see a doctor.,J'ai une infection et j'ai besoin de voir un docteur.
109,infection,infections|infectées|infectieuse|infection,I have an infection in my throat.,J'ai une infection dans ma gorge.
110,respiratory,respiratoire,"system

The respiratory system is responsible for bringing oxygen into the body and removing carbon dioxide.",Le système respiratoire est responsable d'apporter de l'oxygène dans le corps et d'éliminer le dioxyde de carbone.
111,respiratory,respiratoire,"system

The respiratory system is responsible for bringing oxygen into the body and removing carbon dioxide.",Le système respiratoire est responsable de l'apport d'oxygène dans le corps et de l'élimination du dioxyde de carbone.
112,respiratory,respiratoire,"system

The respiratory system is responsible for bringing oxygen into the body and removing carbon dioxide.",Le système respiratoire est responsable de l'apport en oxygène dans le corps et de l'élimination du dioxyde de carbone.
113,respiratory,respiratoire,"system

The respiratory system is responsible for bringing oxygen into the body and removing carbon dioxide.",Le système respiratoire est responsable de l'apport en oxygène dans le corps et du retrait du dioxyde de carbone.
114,respiratory,respiratoire,"system

The respiratory system is responsible for taking in oxygen and expelling carbon dioxide.",Le système respiratoire est responsable de l'absorption d'oxygène et de l'évacuation du dioxyde de carbone.
115,spread,propagation|propagé|propagée|se propagent|diffusion|se propager|s ' est rapidement propagée|se propage|propagés,The news quickly spread throughout the town.,L'information s'est rapidement répandue dans toute la ville.
116,spread,propagation|propagé|propagée|se propagent|diffusion|se propager|s ' est rapidement propagée|se propage|propagés,The news quickly spread throughout the town.,Les nouvelles se sont rapidement répandues dans toute la ville.
117,spread,propagation|propagé|propagée|se propagent|diffusion|se propager|s ' est rapidement propagée|se propage|propagés,The news quickly spread throughout the town.,La nouvelle s'est vite répandue dans toute la ville.
118,spread,propagation|propagé|propagée|se propagent|diffusion|se propager|s ' est rapidement propagée|se propage|propagés,The news quickly spread throughout the town.,Les nouvelles se sont rapidement répandues dans toute la ville.
119,spread,propagation|propagé|propagée|se propagent|diffusion|se propager|s ' est rapidement propagée|se propage|propagés,The news quickly spread throughout the town.,La nouvelle s'est rapidement répandue dans toute la ville.
120,World Health Organization,Organisation mondiale de la Santé|Organisation Mondiale de la Santé|Organisation mondiale de la santé,The World Health Organization is dedicated to improving global health.,L'Organisation mondiale de la santé se consacre à améliorer la santé mondiale.
121,World Health Organization,Organisation mondiale de la Santé|Organisation Mondiale de la Santé|Organisation mondiale de la santé,The World Health Organization is dedicated to improving global health.,L'Organisation mondiale de la santé s'engage à améliorer la santé mondiale.
122,World Health Organization,Organisation mondiale de la Santé|Organisation Mondiale de la Santé|Organisation mondiale de la santé,The World Health Organization is dedicated to improving global health.,L'Organisation mondiale de la Santé est dédiée à améliorer la santé mondiale.
123,World Health Organization,Organisation mondiale de la Santé|Organisation Mondiale de la Santé|Organisation mondiale de la santé,The World Health Organization works to promote global health and well-being.,L'Organisation mondiale de la santé travaille à promouvoir la santé et le bien-être à l'échelle mondiale.
124,World Health Organization,Organisation mondiale de la Santé|Organisation Mondiale de la Santé|Organisation mondiale de la santé,The World Health Organization works to promote global health and well-being.,L'Organisation mondiale de la santé travaille pour promouvoir la santé et le bien-être mondial.
125,WHO,OMS,Who is the person you are looking for?,Qui est la personne que vous cherchez?
126,WHO,OMS,Who is the person you are looking for?,Qui est la personne que vous recherchez ?
127,WHO,OMS,Who is the person you are looking for?,Quelle est la personne que tu cherches ?
128,WHO,OMS,Who is it?,Qui est-ce ?
129,WHO,OMS,Who is the person you are looking for?,Quelle est la personne que vous cherchez ?
130,pandemic,pandémie,The world is currently facing a global pandemic.,Le monde est actuellement confronté à une pandémie mondiale.
131,pandemic,pandémie,The world is currently facing a pandemic.,Le monde fait face actuellement à une pandémie.
132,pandemic,pandémie,The world is currently facing a global pandemic.,Le monde fait actuellement face à une pandémie mondiale.
133,pandemic,pandémie,The spread of the coronavirus has caused a global pandemic.,La propagation du coronavirus a provoqué une pandémie mondiale.
134,pandemic,pandémie,The world is currently facing a global pandemic.,Le monde fait actuellement face à une pandémie mondiale.
135,confirmed cases,cas confirmés|cas a été confirmé,The number of confirmed cases has been increasing.,Le nombre de cas confirmés a augmenté.
136,confirmed cases,cas confirmés|cas a été confirmé,The number of confirmed cases has been increasing.,Le nombre de cas confirmés a augmenté.
137,confirmed cases,cas confirmés|cas a été confirmé,The number of confirmed cases has been increasing.,Le nombre de cas confirmés a augmenté.
138,confirmed cases,cas confirmés|cas a été confirmé,The number of confirmed cases has been increasing.,Le nombre de cas confirmés a augmenté.
139,confirmed cases,cas confirmés|cas a été confirmé,The number of confirmed cases has been increasing.,Le nombre de cas confirmés a été en augmentation.
140,deaths,décès,"Sadly, there have been too many deaths in recent years.","Malheureusement, il y a eu trop de morts ces dernières années."
141,deaths,décès,The number of deaths has increased significantly this year.,Le nombre de décès a significativement augmenté cette année.
142,deaths,décès,The number of deaths has increased significantly this year.,Le nombre de décès a significativement augmenté cette année.
143,deaths,décès,The number of deaths has increased significantly this year.,Le nombre de décès a considérablement augmenté cette année.
144,deaths,décès,The number of deaths has increased significantly this year.,Le nombre de décès a augmenté significativement cette année.
145,rapid risk assessment,évaluation rapide des risques,We conducted a rapid risk assessment to identify potential hazards.,Nous avons mené une évaluation rapide des risques pour identifier les risques potentiels.
146,rapid risk assessment,évaluation rapide des risques,We conducted a rapid risk assessment to identify potential hazards.,Nous avons effectué une évaluation rapide des risques pour identifier les risques potentiels.
147,rapid risk assessment,évaluation rapide des risques,We conducted a rapid risk assessment to identify potential hazards.,Nous avons mené une évaluation rapide des risques pour identifier les risques potentiels.
148,rapid risk assessment,évaluation rapide des risques,We conducted a rapid risk assessment to identify any potential issues.,Nous avons mené une évaluation rapide des risques pour identifier tout problème potentiel.
149,rapid risk assessment,évaluation rapide des risques,We conducted a rapid risk assessment to identify potential hazards.,Nous avons effectué une évaluation rapide des risques pour identifier les dangers potentiels.
150,community transmission,transmission communautaire,The spread of the virus is now occurring through community transmission.,La propagation du virus se produit maintenant par transmission communautaire.
151,community transmission,transmission communautaire,The spread of the virus is now occurring through community transmission.,La propagation du virus se fait maintenant par transmission communautaire.
152,community transmission,transmission communautaire,The spread of the virus is now occurring through community transmission.,La propagation du virus se produit maintenant par transmission communautaire.
153,community transmission,transmission communautaire,The spread of the virus is now occurring through community transmission.,La propagation du virus se produit maintenant par transmission communautaire.
154,community transmission,transmission communautaire,The spread of the virus is now occurring through community transmission.,La propagation du virus se produit maintenant par transmission communautaire.
155,outbreak,épidémie|épidémies|épidémique,There has been an outbreak of a contagious disease.,Il y a eu une éclosion d'une maladie contagieuse.
156,outbreak,épidémie|épidémies|épidémique,There has been an outbreak of a new virus.,Il y a eu une épidémie d'un nouveau virus.
157,outbreak,épidémie|épidémies|épidémique,There has been an outbreak of the flu in the area.,Il y a eu une éclosion de la grippe dans la région.
158,outbreak,épidémie|épidémies|épidémique,The outbreak of the virus caused widespread panic.,L'éclosion du virus a provoqué une panique générale.
159,outbreak,épidémie|épidémies|épidémique,There has been an outbreak of a new virus in the city.,Il y a eu une épidémie d'un nouveau virus dans la ville.
160,SARS,SRAS|SARS,The outbreak of SARS has caused much concern around the world.,L'éclosion de la SRAS a suscité beaucoup d'inquiétude autour du monde.
161,SARS,SRAS|SARS,The outbreak of SARS caused widespread panic across the world.,L'éclosion du SRAS a causé un panique générale dans le monde entier.
162,SARS,SRAS|SARS,The outbreak of SARS caused a global health crisis.,L'éclosion de SRAS a provoqué une crise sanitaire mondiale.
163,SARS,SRAS|SARS,The outbreak of SARS caused widespread panic around the world.,L'éclosion du SRAS a provoqué une panique généralisée dans le monde entier.
164,SARS,SRAS|SARS,The outbreak of SARS in 2003 caused widespread panic.,L'épidémie de SRAS en 2003 a provoqué une panique générale.
165,infected,infecté|infectée|infectés|infectées|infectait|infection,He was infected with a virus.,Il a été infecté par un virus.
166,infected,infecté|infectée|infectés|infectées|infectait|infection,He was infected with a virus.,Il a été infecté par un virus.
167,infected,infecté|infectée|infectés|infectées|infectait|infection,He was infected with a virus.,Il a été infecté par un virus.
168,infected,infecté|infectée|infectés|infectées|infectait|infection,He was infected with a virus.,Il a été infecté par un virus.
169,infected,infecté|infectée|infectés|infectées|infectait|infection,He was infected with a virus.,Il a été infecté par un virus.
170,virus,virus|viral|virale|virales,I think I might have a virus on my computer.,Je pense que j'ai peut-être un virus sur mon ordinateur.
171,virus,virus|viral|virale|virales,I think my computer has a virus.,Je pense que mon ordinateur a un virus.
172,virus,virus|viral|virale|virales,I think my computer has a virus.,Je pense que mon ordinateur a un virus.
173,virus,virus|viral|virale|virales,I think I may have caught a virus.,Je pense que j'ai pu attraper un virus.
174,virus,virus|viral|virale|virales,I think my computer has a virus.,Je pense que mon ordinateur a un virus.
175,SARS-CoV,SARS-CoV,"-2

The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
176,SARS-CoV,SARS-CoV,"-2

The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
177,SARS-CoV,SARS-CoV,"-2

The novel coronavirus responsible for the current pandemic is called SARS-CoV-2.",Le nouveau coronavirus responsable de la pandémie actuelle s'appelle SARS-CoV-2.
178,SARS-CoV,SARS-CoV,"-2

The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
179,SARS-CoV,SARS-CoV,"-2

The novel coronavirus, SARS-CoV-2, has caused a global pandemic.","Le nouveau coronavirus, SARS-CoV-2, a provoqué une pandémie mondiale."
180,prognosis,pronostic,The prognosis for the patient's recovery is good.,Le pronostic de la récupération du patient est bon.
181,prognosis,pronostic,The prognosis for the patient's recovery is good.,Le pronostic de récupération du patient est bon.
182,prognosis,pronostic,The prognosis is not good.,Le pronostic n'est pas bon.
183,prognosis,pronostic,The prognosis for the patient's recovery is good.,Le pronostic pour la guérison du patient est bon.
184,prognosis,pronostic,The prognosis for the patient's recovery is good.,Le pronostic de rétablissement du patient est bon.
185,epidemic,épidémie|épidémique|épidémiques,The flu has become an epidemic in the city.,La grippe est devenue une épidémie dans la ville.
186,epidemic,épidémie|épidémique|épidémiques,The flu has become an epidemic this year.,La grippe a devenu une épidémie cette année.
187,epidemic,épidémie|épidémique|épidémiques,The flu has become an epidemic this year.,La grippe est devenue une épidémie cette année.
188,epidemic,épidémie|épidémique|épidémiques,The flu has become an epidemic this winter.,La grippe est devenue une épidémie cet hiver.
189,epidemic,épidémie|épidémique|épidémiques,The flu has become an epidemic this winter.,La grippe est devenue une épidémie cet hiver.
190,pathogen,pathogènes|pathogène,Pathogens can cause serious illnesses in humans.,Les pathogènes peuvent causer de graves maladies chez les humains.
191,pathogen,pathogènes|pathogène,Pathogens can cause serious illnesses in humans.,Les pathogènes peuvent causer de graves maladies chez l'homme.
192,pathogen,pathogènes|pathogène,Pathogens can cause serious illnesses in humans.,Les pathogènes peuvent provoquer des maladies sérieuses chez l'homme.
193,pathogen,pathogènes|pathogène,Pathogens can cause serious illnesses in humans.,Les agents pathogènes peuvent causer de graves maladies chez l'être humain.
194,pathogen,pathogènes|pathogène,Pathogens can cause serious illnesses in humans.,Les agents pathogènes peuvent causer des maladies graves chez l'homme.
195,common cold,rhume commun|rhumes communs|rhume,I have a common cold.,J'ai un rhume commun.
196,common cold,rhume commun|rhumes communs|rhume,I caught a common cold last week.,J'ai attrapé un rhume banal la semaine dernière.
197,common cold,rhume commun|rhumes communs|rhume,I have a common cold.,J'ai un rhume commun.
198,common cold,rhume commun|rhumes communs|rhume,I have a common cold.,J'ai un rhume.
199,common cold,rhume commun|rhumes communs|rhume,I have a common cold.,J'ai un rhume courant.
200,transmission,transmission|se transmettre|transmis,The transmission of the car was not working properly.,La transmission de la voiture ne fonctionnait pas correctement.
201,transmission,transmission|se transmettre|transmis,The transmission of the car was not working properly.,La transmission de la voiture ne fonctionnait pas correctement.
202,transmission,transmission|se transmettre|transmis,The transmission of the car was not working properly.,La transmission de la voiture ne fonctionnait pas correctement.
203,transmission,transmission|se transmettre|transmis,The transmission of the car was not working properly.,La transmission de la voiture ne fonctionnait pas correctement.
204,transmission,transmission|se transmettre|transmis,The transmission of the car was not working properly.,La transmission de la voiture ne fonctionnait pas correctement.
205,global health emergency,urgence sanitaire mondiale,The World Health Organization has declared a global health emergency.,L'Organisation mondiale de la santé a déclaré une urgence sanitaire mondiale.
206,global health emergency,urgence sanitaire mondiale,The World Health Organization has declared a global health emergency.,L'Organisation mondiale de la santé a déclaré une urgence sanitaire mondiale.
207,global health emergency,urgence sanitaire mondiale,The World Health Organization has declared a global health emergency.,L'Organisation mondiale de la santé a déclaré une urgence sanitaire mondiale.
208,global health emergency,urgence sanitaire mondiale,The World Health Organization has declared a global health emergency.,L'Organisation mondiale de la santé a déclaré une urgence sanitaire mondiale.
209,global health emergency,urgence sanitaire mondiale,The World Health Organization has declared a global health emergency.,L'Organisation mondiale de la Santé a déclaré une urgence sanitaire mondiale.
210,onset,début,The onset of winter was marked by a heavy snowfall.,L'arrivée de l'hiver a été marquée par une forte chute de neige.
211,onset,début,The onset of the storm was sudden.,L'arrivée de l'orage a été soudaine.
212,onset,début,The onset of winter was marked by a sudden drop in temperature.,L'arrivée de l'hiver a été marquée par une brusque baisse de température.
213,onset,début,The onset of winter brought colder temperatures.,L'arrivée de l'hiver a apporté des températures plus froides.
214,onset,début,The onset of winter brought cold temperatures.,L'arrivée de l'hiver a apporté des températures froides.
215,incubation period,période d' incubation,The incubation period for the virus is two weeks.,La période d'incubation du virus est de deux semaines.
216,incubation period,période d' incubation,The incubation period for the virus is two weeks.,La période d'incubation du virus est de deux semaines.
217,incubation period,période d' incubation,The incubation period for the virus is two weeks.,La période d'incubation du virus est de deux semaines.
218,incubation period,période d' incubation,The incubation period for the virus is two weeks.,Période d'incubation du virus est de deux semaines.
219,incubation period,période d' incubation,The incubation period for the virus is two weeks.,Le temps d'incubation du virus est de deux semaines.
220,RNA,ARN,RNA is a molecule that helps to carry out instructions from DNA.,L'ARN est une molécule qui aide à exécuter les instructions de l'ADN.
221,RNA,ARN,RNA is a molecule that helps to carry genetic information.,L'ARN est une molécule qui aide à transporter des informations génétiques.
222,RNA,ARN,RNA is a molecule that helps to carry genetic information.,L'ARN est une molécule qui aide à transporter l'information génétique.
223,RNA,ARN,RNA is a molecule that helps to carry genetic information.,L'ARN est une molécule qui aide à transporter des informations génétiques.
224,RNA,ARN,RNA is a molecule that helps to carry out instructions from DNA.,L'ARN est une molécule qui aide à exécuter les instructions de l'ADN.
225,infect,infectées|infecter,He was infected with a virus.,Il a été infecté par un virus.
226,infect,infectées|infecter,He was infected with a virus.,Il était infecté par un virus.
